id,terjemah,tjclean
[12.28],Maka tatkala suami wanita itu melihat baju gamis Yusuf koyak di belakang berkatalah dia: Sesungguhnya (kejadian) itu adalah di antara tipu daya kamu sesungguhnya tipu daya kamu adalah besar.,tatkala suami wanita baju gamis yusuf koyak berkatalah sesungguhnya kejadian tipu daya sesungguhnya tipu daya
[12.29],(Hai) Yusuf: Berpalinglah dari ini dan (kamu hai istriku) mohon ampunlah atas dosamu itu karena kamu sesungguhnya termasuk orang-orang yang berbuat salah.,hai yusuf berpalinglah hai istriku mohon ampunlah dosamu sesungguhnya orangorang berbuat salah
[12.30],Dan wanita-wanita di kota berkata: Istri Al Aziz menggoda bujangnya untuk menundukkan dirinya (kepadanya) sesungguhnya cintanya kepada bujangnya itu adalah sangat mendalam. Sesungguhnya kami memandangnya dalam kesesatan yang nyata.,wanitawanita kota istri al aziz menggoda bujangnya menundukkan sesungguhnya cintanya bujangnya mendalam sesungguhnya memandangnya kesesatan nyata
[12.31],Maka tatkala wanita itu (Zulaikha) mendengar cercaan mereka diundangnyalah wanita-wanita itu dan disediakannya bagi mereka tempat duduk dan diberikannya kepada masing-masing mereka sebuah pisau (untuk memotong jamuan) kemudian dia berkata (kepada Yusuf): Keluarlah (nampakkanlah dirimu) kepada mereka. Maka tatkala wanita-wanita itu melihatnya mereka kagum kepada (keelokan rupa) nya dan mereka melukai (jari) tangannya dan berkata: Maha sempurna Allah ini bukanlah manusia. Sesungguhnya ini tidak lain hanyalah malaikat yang mulia.,tatkala wanita zulaikha mendengar cercaan diundangnyalah wanitawanita disediakannya duduk masingmasing pisau memotong jamuan yusuf keluarlah nampakkanlah dirimu tatkala wanitawanita kagum keelokan rupa nya melukai jari tangannya maha sempurna allah manusia sesungguhnya malaikat mulia
[12.32],Wanita itu berkata: Itulah dia orang yang kamu cela aku karena (tertarik) kepadanya dan sesungguhnya aku telah menggoda dia untuk menundukkan dirinya (kepadaku) akan tetapi dia menolak. Dan sesungguhnya jika dia tidak menaati apa yang aku perintahkan kepadanya niscaya dia akan dipenjarakan dan dia akan termasuk golongan orang-orang yang hina.,wanita orang cela tertarik sesungguhnya menggoda menundukkan kepadaku menolak sesungguhnya menaati perintahkan niscaya dipenjarakan golongan orangorang hina
[12.33],Yusuf berkata: Wahai Tuhanku penjara lebih aku sukai daripada memenuhi ajakan mereka kepadaku. Dan jika tidak Engkau hindarkan dari padaku tipu daya mereka tentu aku akan cenderung untuk (memenuhi keinginan mereka) dan tentulah aku termasuk orang-orang yang bodoh.,yusuf tuhanku penjara sukai memenuhi ajakan kepadaku engkau hindarkan padaku tipu daya cenderung memenuhi orangorang bodoh
[12.34],Maka Tuhannya memperkenankan doa Yusuf dan Dia menghindarkan Yusuf dari tipu daya mereka. Sesungguhnya Dia-lah Yang Maha Mendengar lagi Maha Mengetahui.,tuhannya memperkenankan doa yusuf menghindarkan yusuf tipu daya sesungguhnya maha mendengar maha
[12.35],Kemudian timbul pikiran pada mereka setelah melihat tanda-tanda (kebenaran Yusuf) bahwa mereka harus memenjarakannya sampai sesuatu waktu.,timbul pikiran tandatanda kebenaran yusuf memenjarakannya
[12.36],Dan bersama dengan dia masuk pula ke dalam penjara dua orang pemuda. Berkatalah salah seorang di antara keduanya: Sesungguhnya aku bermimpi bahwa aku memeras anggur. Dan yang lainnya berkata: Sesungguhnya aku bermimpi bahwa aku membawa roti di atas kepalaku sebahagiannya dimakan burung. Berikanlah kepada kami takbirnya sesungguhnya kami memandang kamu termasuk orang-orang yang pandai (menakbirkan mimpi).,masuk penjara orang pemuda berkatalah salah sesungguhnya bermimpi memeras anggur sesungguhnya bermimpi membawa roti kepalaku sebahagiannya dimakan burung berikanlah takbirnya sesungguhnya memandang orangorang pandai menakbirkan mimpi
[12.37],Yusuf berkata: Tidak disampaikan kepada kamu berdua makanan yang akan diberikan kepadamu melainkan aku telah dapat menerangkan jenis makanan itu sebelum makanan itu sampai kepadamu. Yang demikian itu adalah sebagian dari apa yang diajarkan kepadaku oleh Tuhanku. Sesungguhnya aku telah meninggalkan agama orang-orang yang tidak beriman kepada Allah sedang mereka ingkar kepada hari kemudian.,yusuf berdua makanan kepadamu menerangkan jenis makanan makanan kepadamu diajarkan kepadaku tuhanku sesungguhnya meninggalkan agama orangorang beriman allah ingkar
[12.38],Dan aku mengikut agama bapak-bapakku yaitu Ibrahim Ishak dan Yakub. Tiadalah patut bagi kami (para Nabi) mempersekutukan sesuatu apa pun dengan Allah. Yang demikian itu adalah dari karunia Allah kepada kami dan kepada manusia (seluruhnya) tetapi kebanyakan manusia itu tidak mensyukuri (Nya).,mengikut agama bapakbapakku ibrahim ishak yakub tiadalah patut nabi mempersekutukan allah karunia allah manusia kebanyakan manusia mensyukuri nya
[12.39],Hai kedua penghuni penjara manakah yang baik tuhan-tuhan yang bermacam-macam itu ataukah Allah Yang Maha Esa lagi Maha Perkasa?,hai penghuni penjara manakah tuhantuhan bermacammacam allah maha esa maha perkasa
[12.40],Kamu tidak menyembah yang selain Allah kecuali hanya (menyembah) nama-nama yang kamu dan nenek moyangmu membuat-buatnya. Allah tidak menurunkan suatu keterangan pun tentang nama-nama itu. Keputusan itu hanyalah kepunyaan Allah. Dia telah memerintahkan agar kamu tidak menyembah selain Dia. Itulah agama yang lurus tetapi kebanyakan manusia tidak mengetahui.,menyembah allah kecuali menyembah namanama nenek moyangmu membuatbuatnya allah menurunkan keterangan namanama keputusan kepunyaan allah memerintahkan menyembah agama lurus kebanyakan manusia
[12.41],Hai kedua penghuni penjara Adapun salah seorang di antara kamu berdua akan memberi minum tuannya dengan khamar adapun yang seorang lagi maka ia akan disalib lalu burung memakan sebagian dari kepalanya. Telah diputuskan perkara yang kamu berdua menanyakannya (kepadaku).,hai penghuni penjara salah berdua minum tuannya khamar disalib burung memakan kepalanya diputuskan perkara berdua menanyakannya kepadaku
[12.42],Dan Yusuf berkata kepada orang yang diketahuinya akan selamat di antara mereka berdua: Terangkanlah keadaanku kepada tuanmu. Maka setan menjadikan dia lupa menerangkan (keadaan Yusuf) kepada tuannya. Karena itu tetaplah dia (Yusuf) dalam penjara beberapa tahun lamanya.,yusuf orang selamat berdua terangkanlah keadaanku tuanmu setan menjadikan lupa menerangkan yusuf tuannya tetaplah yusuf penjara
[12.43],Raja berkata (kepada orang-orang terkemuka dari kaumnya): Sesungguhnya aku bermimpi melihat tujuh ekor sapi betina yang gemuk-gemuk dimakan oleh tujuh ekor sapi betina yang kurus-kurus dan tujuh bulir (gandum) yang hijau dan tujuh bulir lainnya yang kering. Hai orang-orang yang terkemuka: Terangkanlah kepadaku tentang takbir mimpiku itu jika kamu dapat menakbirkan mimpi.,raja orangorang terkemuka kaumnya sesungguhnya bermimpi tujuh ekor sapi betina gemukgemuk dimakan tujuh ekor sapi betina kuruskurus tujuh bulir gandum hijau tujuh bulir kering hai orangorang terkemuka terangkanlah kepadaku takbir mimpiku menakbirkan mimpi
[12.44],Mereka menjawab: (Itu) adalah mimpi-mimpi yang kosong dan kami sekali-kali tidak tahu menakbirkan mimpi itu.,mimpimimpi kosong sekalikali menakbirkan mimpi
[12.45],Dan berkatalah orang yang selamat di antara mereka berdua dan teringat (kepada Yusuf) sesudah beberapa waktu lamanya: Aku akan memberitakan kepadamu tentang (orang yang pandai) menakbirkan mimpi itu maka utuslah aku (kepadanya).,berkatalah orang selamat berdua yusuf memberitakan kepadamu orang pandai menakbirkan mimpi utuslah
[12.46],(Setelah pelayan itu berjumpa dengan Yusuf dia berseru): Yusuf hai orang yang amat dipercaya terangkanlah kepada kami tentang tujuh ekor sapi betina yang gemuk-gemuk yang dimakan oleh tujuh ekor sapi betina yang kurus-kurus dan tujuh bulir (gandum) yang hijau dan (tujuh) lainnya yang kering agar aku kembali kepada orang-orang itu agar mereka mengetahuinya.,pelayan berjumpa yusuf berseru yusuf hai orang dipercaya terangkanlah tujuh ekor sapi betina gemukgemuk dimakan tujuh ekor sapi betina kuruskurus tujuh bulir gandum hijau tujuh kering orangorang mengetahuinya
[12.47],Yusuf berkata: Supaya kamu bertanam tujuh tahun (lamanya) sebagaimana biasa maka apa yang kamu tuai hendaklah kamu biarkan dibulirnya kecuali sedikit untuk kamu makan.,yusuf bertanam tujuh tuai biarkan dibulirnya kecuali makan
[12.48],Kemudian sesudah itu akan datang tujuh tahun yang amat sulit yang menghabiskan apa yang kamu simpan untuk menghadapinya (tahun sulit) kecuali sedikit dari (bibit gandum) yang kamu simpan.,tujuh sulit menghabiskan simpan menghadapinya sulit kecuali bibit gandum simpan
[12.49],Kemudian setelah itu akan datang tahun yang padanya manusia diberi hujan (dengan cukup) dan di masa itu mereka memeras anggur.,manusia hujan memeras anggur
[12.50],Raja berkata: Bawalah dia kepadaku. Maka tatkala utusan itu datang kepada Yusuf berkatalah Yusuf: Kembalilah kepada tuanmu dan tanyakanlah kepadanya bagaimana halnya wanita-wanita yang telah melukai tangannya. Sesungguhnya Tuhanku Maha Mengetahui tipu daya mereka.,raja bawalah kepadaku tatkala utusan yusuf berkatalah yusuf kembalilah tuanmu tanyakanlah halnya wanitawanita melukai tangannya sesungguhnya tuhanku maha tipu daya
[12.51],Raja berkata (kepada wanita-wanita itu): Bagaimana keadaanmu ketika kamu menggoda Yusuf untuk menundukkan dirinya (kepadamu)? Mereka berkata: Maha Sempurna Allah kami tiada mengetahui sesuatu keburukan daripadanya. Berkata istri Al Aziz: Sekarang jelaslah kebenaran itu akulah yang menggodanya untuk menundukkan dirinya (kepadaku) dan sesungguhnya dia termasuk orang-orang yang benar.,raja wanitawanita keadaanmu menggoda yusuf menundukkan kepadamu maha sempurna allah tiada keburukan daripadanya istri al aziz kebenaran menggodanya menundukkan kepadaku sesungguhnya orangorang
[12.52],(Yusuf berkata): Yang demikian itu agar dia (Al Aziz) mengetahui bahwa sesungguhnya aku tidak berkhianat kepadanya di belakangnya dan bahwasanya Allah tidak meridai tipu daya orang-orang yang berkhianat.,yusuf al aziz sesungguhnya berkhianat belakangnya allah meridai tipu daya orangorang berkhianat
[12.53],Dan aku tidak membebaskan diriku (dari kesalahan) karena sesungguhnya nafsu itu selalu menyuruh kepada kejahatan kecuali nafsu yang diberi rahmat oleh Tuhanku. Sesungguhnya Tuhanku Maha Pengampun lagi Maha Penyayang.13,membebaskan diriku kesalahan sesungguhnya nafsu menyuruh kejahatan kecuali nafsu rahmat tuhanku sesungguhnya tuhanku maha pengampun maha penyayang13
[12.54],Dan raja berkata: Bawalah Yusuf kepadaku agar aku memilih dia sebagai orang yang rapat kepadaku. Maka tatkala raja telah bercakap-cakap dengan dia dia berkata: Sesungguhnya kamu (mulai) hari ini menjadi seorang yang berkedudukan tinggi lagi dipercaya pada sisi kami.,raja bawalah yusuf kepadaku memilih orang rapat kepadaku tatkala raja bercakapcakap sesungguhnya berkedudukan dipercaya sisi
[12.55],Berkata Yusuf: Jadikanlah aku bendaharawan negara (Mesir) sesungguhnya aku adalah orang yang pandai menjaga lagi berpengetahuan.,yusuf jadikanlah bendaharawan negara mesir sesungguhnya orang pandai menjaga berpengetahuan
[12.56],Dan demikianlah Kami memberi kedudukan kepada Yusuf di negeri Mesir (dia berkuasa penuh) pergi menuju ke mana saja yang ia kehendaki di bumi Mesir itu. Kami melimpahkan rahmat Kami kepada siapa yang Kami kehendaki dan Kami tidak menyia-nyiakan pahala orang-orang yang berbuat baik.,kedudukan yusuf negeri mesir berkuasa penuh pergi kehendaki bumi mesir melimpahkan rahmat kehendaki menyianyiakan pahala orangorang berbuat
[12.57],Dan sesungguhnya pahala di akhirat itu lebih baik bagi orang-orang yang beriman dan selalu bertakwa.,sesungguhnya pahala akhirat orangorang beriman bertakwa
[12.58],Dan saudara-saudara Yusuf datang (ke Mesir) lalu mereka masuk ke (tempat) nya. Maka Yusuf mengenal mereka sedang mereka tidak kenal (lagi) kepadanya.,saudarasaudara yusuf mesir masuk nya yusuf mengenal kenal
[12.59],Dan tatkala Yusuf menyiapkan untuk mereka bahan makanannya ia berkata: Bawalah kepadaku saudaramu yang se ayah dengan kamu (Bunyamin) tidakkah kamu melihat bahwa aku menyempurnakan sukatan dan aku adalah sebaik-baik penerima tamu?,tatkala yusuf bahan makanannya bawalah kepadaku saudaramu ayah bunyamin menyempurnakan sukatan sebaikbaik penerima tamu
[12.60],Jika kamu tidak membawanya kepadaku maka kamu tidak akan mendapat sukatan lagi dari padaku dan jangan kamu mendekatiku.,membawanya kepadaku sukatan padaku mendekatiku
[12.61],Mereka berkata: Kami akan membujuk ayahnya untuk membawanya (ke mari) dan sesungguhnya kami benar-benar akan melaksanakannya.,membujuk ayahnya membawanya mari sesungguhnya benarbenar melaksanakannya
[12.62],Yusuf berkata kepada bujang-bujangnya: Masukkanlah barang-barang (penukar kepunyaan mereka) ke dalam karung-karung mereka supaya mereka mengetahuinya apabila mereka telah kembali kepada keluarganya mudah-mudahan mereka kembali lagi.,yusuf bujangbujangnya masukkanlah barangbarang penukar kepunyaan karungkarung mengetahuinya keluarganya mudahmudahan
[12.63],Maka tatkala mereka telah kembali kepada ayah mereka (Yakub) mereka berkata: Wahai ayah kami kami tidak akan mendapat sukatan (gandum) lagi (jika tidak membawa saudara kami) sebab itu biarkanlah saudara kami pergi bersama-sama kami supaya kami mendapat sukatan dan sesungguhnya kami benar-benar akan menjaganya.,tatkala ayah yakub ayah sukatan gandum membawa saudara biarkanlah saudara pergi bersamasama sukatan sesungguhnya benarbenar menjaganya
[12.64],Berkata Yakub: Bagaimana aku akan mempercayakannya (Bunyamin) kepadamu kecuali seperti aku telah mempercayakan saudaranya (Yusuf) kepada kamu dahulu?. Maka Allah adalah sebaik-baik Penjaga dan Dia adalah Maha Penyayang di antara para penyayang.,yakub mempercayakannya bunyamin kepadamu kecuali mempercayakan saudaranya yusuf allah sebaikbaik penjaga maha penyayang penyayang
[12.65],Tatkala mereka membuka barang-barangnya mereka menemukan kembali barang-barang (penukaran) mereka dikembalikan kepada mereka. Mereka berkata: Wahai ayah kami apa lagi yang kita inginkan. Ini barang-barang kita dikembalikan kepada kita dan kami akan dapat memberi makan keluarga kami dan kami akan dapat memelihara saudara kami dan kami akan mendapat tambahan sukatan (gandum) seberat beban seekor unta. Itu adalah sukatan yang mudah (bagi raja Mesir).,tatkala membuka barangbarangnya menemukan barangbarang penukaran dikembalikan ayah barangbarang dikembalikan makan keluarga memelihara saudara tambahan sukatan gandum seberat beban seekor unta sukatan mudah raja mesir
[12.66],Yakub berkata: Aku sekali-kali tidak akan melepaskannya (pergi) bersama-sama kamu sebelum kamu memberikan kepadaku janji yang teguh atas nama Allah bahwa kamu pasti akan membawanya kepadaku kembali kecuali jika kamu dikepung musuh. Tatkala mereka memberikan janji mereka maka Yakub berkata: Allah adalah saksi terhadap apa yang kita ucapkan (ini).,yakub sekalikali melepaskannya pergi bersamasama kepadaku janji teguh nama allah membawanya kepadaku kecuali dikepung musuh tatkala janji yakub allah saksi ucapkan
[12.67],Dan Yakub berkata: Hai anak-anakku janganlah kamu (bersama-sama) masuk dari satu pintu gerbang dan masuklah dari pintu-pintu gerbang yang berlain-lain namun demikian aku tiada dapat melepaskan kamu barang sedikit pun daripada (takdir) Allah. Keputusan menetapkan (sesuatu) hanyalah hak Allah kepada-Nya-lah aku bertawakal dan hendaklah kepada-Nya saja orang-orang yang bertawakal berserah diri.,yakub hai anakanakku bersamasama masuk pintu gerbang masuklah pintupintu gerbang berlainlain tiada melepaskan barang takdir allah keputusan menetapkan hak allah kepadanyalah bertawakal orangorang bertawakal berserah
[12.68],Dan tatkala mereka masuk menurut yang diperintahkan ayah mereka maka (cara yang mereka lakukan itu) tiadalah melepaskan mereka sedikit pun dari takdir Allah akan tetapi itu hanya suatu keinginan pada diri Yakub yang telah ditetapkannya. Dan sesungguhnya dia mempunyai pengetahuan karena Kami telah mengajarkan kepadanya. Akan tetapi kebanyakan manusia tiada mengetahui.,tatkala masuk diperintahkan ayah lakukan tiadalah melepaskan takdir allah yakub ditetapkannya sesungguhnya pengetahuan mengajarkan kebanyakan manusia tiada
[12.69],Dan tatkala mereka masuk ke (tempat) Yusuf Yusuf membawa saudaranya (Bunyamin) ke tempatnya Yusuf berkata: Sesungguhnya aku (ini) adalah saudaramu maka janganlah kamu berdukacita terhadap apa yang telah mereka kerjakan.,tatkala masuk yusuf yusuf membawa saudaranya bunyamin tempatnya yusuf sesungguhnya saudaramu berdukacita kerjakan
[12.70],Maka tatkala telah disiapkan untuk mereka bahan makanan mereka Yusuf memasukkan piala (tempat minum) ke dalam karung saudaranya. Kemudian berteriaklah seseorang yang menyerukan: Hai kafilah sesungguhnya kamu adalah orang-orang yang mencuri.,tatkala disiapkan bahan makanan yusuf memasukkan piala minum karung saudaranya berteriaklah menyerukan hai kafilah sesungguhnya orangorang mencuri
[12.71],Mereka menjawab sambil menghadap kepada penyeru-penyeru itu: Barang apakah yang hilang dari kamu?,menghadap penyerupenyeru barang hilang
[12.72],Penyeru-penyeru itu berkata: Kami kehilangan piala raja dan siapa yang dapat mengembalikannya akan memperoleh bahan makanan (seberat) beban unta dan aku menjamin terhadapnya.,penyerupenyeru kehilangan piala raja mengembalikannya memperoleh bahan makanan seberat beban unta menjamin
[12.73],Saudara-saudara Yusuf menjawab: Demi Allah sesungguhnya kamu mengetahui bahwa kami datang bukan untuk membuat kerusakan di negeri (ini) dan kami bukanlah para pencuri.,saudarasaudara yusuf allah sesungguhnya kerusakan negeri pencuri
[12.74],Mereka berkata: Tetapi apa balasannya jika kamu betul-betul pendusta?.,balasannya betulbetul pendusta
[12.75],Mereka menjawab: Balasannya ialah pada siapa diketemukan (barang yang hilang) dalam karungnya maka dia sendirilah balasannya (tebusannya) Demikianlah Kami memberi pembalasan kepada orang-orang yang zalim.,balasannya diketemukan barang hilang karungnya sendirilah balasannya tebusannya pembalasan orangorang zalim
[12.76],Maka mulailah Yusuf (memeriksa) karung-karung mereka sebelum (memeriksa) karung saudaranya sendiri kemudian dia mengeluarkan piala raja itu dari karung saudaranya. Demikianlah Kami atur untuk (mencapai maksud) Yusuf. Tiadalah patut Yusuf menghukum saudaranya menurut undang-undang raja kecuali Allah menghendakinya. Kami tinggikan derajat orang yang Kami kehendaki: dan di atas tiap-tiap orang yang berpengetahuan itu ada lagi Yang Maha Mengetahui.,yusuf memeriksa karungkarung memeriksa karung saudaranya mengeluarkan piala raja karung saudaranya atur mencapai maksud yusuf tiadalah patut yusuf menghukum saudaranya undangundang raja kecuali allah menghendakinya tinggikan derajat orang kehendaki tiaptiap orang berpengetahuan maha
[12.77],Mereka berkata: Jika ia mencuri maka sesungguhnya telah pernah mencuri pula saudaranya sebelum itu. Maka Yusuf menyembunyikan kejengkelan itu pada dirinya dan tidak menampakkannya kepada mereka. Dia berkata (dalam hatinya): Kamu lebih buruk kedudukanmu (sifat-sifatmu) dan Allah Maha Mengetahui apa yang kamu terangkan itu.,mencuri sesungguhnya mencuri saudaranya yusuf menyembunyikan kejengkelan menampakkannya hatinya buruk kedudukanmu sifatsifatmu allah maha terangkan
[12.78],Mereka berkata: Wahai Al Aziz sesungguhnya ia mempunyai ayah yang sudah lanjut usianya lantaran itu ambillah salah seorang di antara kami sebagai gantinya sesungguhnya kami melihat kamu termasuk orang-orang yang berbuat baik.,al aziz sesungguhnya ayah usianya lantaran ambillah salah gantinya sesungguhnya orangorang berbuat
[12.79],Berkata Yusuf: Aku mohon perlindungan kepada Allah daripada menahan seorang kecuali orang yang kami ketemukan harta benda kami padanya jika kami berbuat demikian maka benar-benarlah kami orang-orang yang zalim.,yusuf mohon perlindungan allah menahan kecuali orang ketemukan harta benda berbuat benarbenarlah orangorang zalim
[12.80],Maka tatkala mereka berputus asa daripada (putusan) Yusuf mereka menyendiri sambil berunding dengan berbisik-bisik. Berkatalah yang tertua di antara mereka: Tidakkah kamu ketahui bahwa sesungguhnya ayahmu telah mengambil janji dari kamu dengan nama Allah dan sebelum itu kamu telah menyia-nyiakan Yusuf. Sebab itu aku tidak akan meninggalkan negeri Mesir sampai ayahku mengizinkan kepadaku (untuk kembali) atau Allah memberi keputusan terhadapku. Dan Dia adalah Hakim yang sebaik-baiknya.,tatkala berputus asa putusan yusuf menyendiri berunding berbisikbisik berkatalah tertua ketahui sesungguhnya ayahmu mengambil janji nama allah menyianyiakan yusuf meninggalkan negeri mesir ayahku mengizinkan kepadaku allah keputusan terhadapku hakim sebaikbaiknya
[12.81],Kembalilah kepada ayahmu dan katakanlah: Wahai ayah kami! Sesungguhnya anakmu telah mencuri dan kami hanya menyaksikan apa yang kami ketahui dan sekali-kali kami tidak dapat menjaga (mengetahui) barang yang gaib.,kembalilah ayahmu ayah sesungguhnya anakmu mencuri menyaksikan ketahui sekalikali menjaga barang gaib
[12.82],Dan tanyalah (penduduk) negeri yang kami berada di situ dan kafilah yang kami datang bersamanya dan sesungguhnya kami adalah orang-orang yang benar.,tanyalah penduduk negeri situ kafilah bersamanya sesungguhnya orangorang
[12.83],Ya'qub berkata: Hanya dirimu sendirilah yang memandang baik perbuatan (yang buruk) itu. Maka kesabaran yang baik itulah (kesabaranku). Mudah-mudahan Allah mendatangkan mereka semuanya kepadaku sesungguhnya Dia-lah Yang Maha Mengetahui lagi Maha Bijaksana.,yaqub dirimu sendirilah memandang perbuatan buruk kesabaran kesabaranku mudahmudahan allah kepadaku sesungguhnya maha maha bijaksana
[12.84],Dan Yakub berpaling dari mereka (anak-anaknya) seraya berkata: Aduhai duka citaku terhadap Yusuf dan kedua matanya menjadi putih karena kesedihan dan dia adalah seorang yang menahan amarahnya (terhadap anak-anaknya).,yakub berpaling anakanaknya seraya aduhai duka citaku yusuf matanya putih kesedihan menahan amarahnya anakanaknya
[12.85],Mereka berkata: Demi Allah senantiasa kamu mengingat Yusuf sehingga kamu mengidapkan penyakit yang berat atau termasuk orang-orang yang binasa.,allah senantiasa yusuf mengidapkan penyakit berat orangorang binasa
[12.86],Yakub menjawab: Sesungguhnya hanyalah kepada Allah aku mengadukan kesusahan dan kesedihanku dan aku mengetahui dari Allah apa yang kamu tiada mengetahuinya.,yakub sesungguhnya allah mengadukan kesusahan kesedihanku allah tiada mengetahuinya
[12.87],Hai anak-anakku pergilah kamu maka carilah berita tentang Yusuf dan saudaranya dan jangan kamu berputus asa dari rahmat Allah. Sesungguhnya tiada berputus asa dari rahmat Allah melainkan kaum yang kafir.,hai anakanakku pergilah carilah berita yusuf saudaranya berputus asa rahmat allah sesungguhnya tiada berputus asa rahmat allah kaum kafir
[12.88],Maka ketika mereka masuk ke (tempat) Yusuf mereka berkata: Hai Al Aziz kami dan keluarga kami telah ditimpa kesengsaraan dan kami datang membawa barang-barang yang tak berharga maka sempurnakanlah sukatan untuk kami dan bersedekahlah kepada kami sesungguhnya Allah memberi balasan kepada orang-orang yang bersedekah.,masuk yusuf hai al aziz keluarga ditimpa kesengsaraan membawa barangbarang berharga sempurnakanlah sukatan bersedekahlah sesungguhnya allah balasan orangorang bersedekah
[12.89],Yusuf berkata: Apakah kamu mengetahui (kejelekan) apa yang telah kamu lakukan terhadap Yusuf dan saudaranya ketika kamu tidak mengetahui (akibat) perbuatanmu itu?.,yusuf kejelekan lakukan yusuf saudaranya akibat perbuatanmu
[12.90],Mereka berkata: Apakah kamu ini benar-benar Yusuf? Yusuf menjawab: Akulah Yusuf dan ini saudaraku. Sesungguhnya Allah telah melimpahkan karunia-Nya kepada kami. Sesungguhnya barang siapa yang bertakwa dan bersabar maka sesungguhnya Allah tidak menyia-nyiakan pahala orang-orang yang berbuat baik.,benarbenar yusuf yusuf yusuf saudaraku sesungguhnya allah melimpahkan karunianya sesungguhnya barang bertakwa bersabar sesungguhnya allah menyianyiakan pahala orangorang berbuat
[12.91],Mereka berkata: Demi Allah sesungguhnya Allah telah melebihkan kamu atas kami dan sesungguhnya kami adalah orang-orang yang bersalah (berdosa).,allah sesungguhnya allah melebihkan sesungguhnya orangorang bersalah berdosa
[12.92],Dia (Yusuf) berkata: Pada hari ini tak ada cercaan terhadap kamu mudah-mudahan Allah mengampuni (kamu) dan Dia adalah Maha Penyayang di antara para penyayang.,yusuf cercaan mudahmudahan allah mengampuni maha penyayang penyayang
[12.93],Pergilah kamu dengan membawa baju gamisku ini lalu letakkanlah dia ke wajah ayahku nanti ia akan melihat kembali dan bawalah keluargamu semuanya kepadaku.,pergilah membawa baju gamisku letakkanlah wajah ayahku bawalah keluargamu kepadaku
[12.94],Tatkala kafilah itu telah keluar (dari negeri Mesir) berkata ayah mereka: Sesungguhnya aku mencium bau Yusuf sekiranya kamu tidak menuduhku lemah akal (tentu kamu membenarkan aku).,tatkala kafilah negeri mesir ayah sesungguhnya mencium bau yusuf menuduhku lemah akal membenarkan
[12.95],Keluarganya berkata: Demi Allah sesungguhnya kamu masih dalam kekeliruanmu yang dahulu.,keluarganya allah sesungguhnya kekeliruanmu
[12.96],Tatkala telah tiba pembawa kabar gembira itu maka diletakkannya baju gamis itu ke wajah Yakub lalu kembalilah dia dapat melihat. Berkata Yakub: Tidakkah aku katakan kepadamu bahwa aku mengetahui dari Allah apa yang kamu tidak mengetahuinya.,tatkala pembawa kabar gembira diletakkannya baju gamis wajah yakub kembalilah yakub kepadamu allah mengetahuinya
[12.97],Mereka berkata: Wahai ayah kami mohonkanlah ampun bagi kami terhadap dosa-dosa kami sesungguhnya kami adalah orang-orang yang bersalah (berdosa).,ayah mohonkanlah ampun dosadosa sesungguhnya orangorang bersalah berdosa
[12.98],Ya'qub berkata: Aku akan memohonkan ampun bagimu kepada Tuhanku. Sesungguhnya Dia-lah Yang Maha Pengampun lagi Maha Penyayang.,yaqub memohonkan ampun bagimu tuhanku sesungguhnya maha pengampun maha penyayang
[12.99],Maka tatkala mereka masuk ke (tempat) Yusuf: Yusuf merangkul ibu bapanya dan dia berkata: Masuklah kamu ke negeri Mesir insya Allah dalam keadaan aman.,tatkala masuk yusuf yusuf merangkul bapanya masuklah negeri mesir insya allah aman
[12.100],Dan ia menaikkan kedua ibu-bapaknya ke atas singgasana. Dan mereka (semuanya) merebahkan diri seraya sujud kepada Yusuf. Dan berkata Yusuf: Wahai ayahku inilah takbir mimpiku yang dahulu itu sesungguhnya Tuhanku telah menjadikannya suatu kenyataan. Dan sesungguhnya Tuhanku telah berbuat baik kepadaku ketika Dia membebaskan aku dari rumah penjara dan ketika membawa kamu dari dusun padang pasir setelah setan merusakkan (hubungan) antaraku dan saudara-saudaraku. Sesungguhnya Tuhanku Maha Lembut terhadap apa yang Dia kehendaki. Sesungguhnya Dia-lah Yang Maha Mengetahui lagi Maha Bijaksana.,menaikkan ibubapaknya singgasana merebahkan seraya sujud yusuf yusuf ayahku takbir mimpiku sesungguhnya tuhanku menjadikannya kenyataan sesungguhnya tuhanku berbuat kepadaku membebaskan rumah penjara membawa dusun padang pasir setan merusakkan hubungan antaraku saudarasaudaraku sesungguhnya tuhanku maha lembut kehendaki sesungguhnya maha maha bijaksana
[12.101],Ya Tuhanku sesungguhnya Engkau telah menganugerahkan kepadaku sebahagian kerajaan dan telah mengajarkan kepadaku sebahagian takbir mimpi. (Ya Tuhan). Pencipta langit dan bumi. Engkaulah Pelindungku di dunia dan di akhirat wafatkanlah aku dalam keadaan Islam dan gabungkanlah aku dengan orang-orang yang saleh.,ya tuhanku sesungguhnya engkau menganugerahkan kepadaku sebahagian kerajaan mengajarkan kepadaku sebahagian takbir mimpi ya tuhan pencipta langit bumi engkaulah pelindungku dunia akhirat wafatkanlah islam gabungkanlah orangorang saleh
